id;cedula;nombre;genero;direccion;telefono;saldo;activo
1;how except;which daily;FEMENINO;institute however pale;powerfully mark;14122.93;true
2;how mechanically;deafening scarily um;FEMENINO;energetically;oddly;12721.5;true
3;left soon;mature delightfully fen;MASCULINO;pfft naughty;duh outgoing di;28741.56;false
4;supposing accred;forceful;FEMENINO;hoarse;orderly who koo;28873.17;false
5;zowie judgementa;wavy back besides;MASCULINO;dirty inwardly;gigantic though;11109.25;false
6;lest beret;season complicated hippodrome;FEMENINO;forenenst excitedly as;plait;2116.42;false
7;extension;immediately;FEMENINO;thankfully vibration by;queasy;22464;true
8;voluminous;inasmuch scar ah;MASCULINO;hence;steel repossess;24015.81;true
9;sheepishly reluc;peaceful;FEMENINO;yahoo yum towards;flat gosh;24758.88;false
10;zowie rarely;ugh hence;FEMENINO;violin dark;gracious intrig;4997.26;false
